number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC100010,New,False,2,1,10,False,user4,user2,2024-02-04 15:15:00,user4,2024-02-04 15:15:00,user5,2024-02-06 16:15:00,Phone,Delhi,Infrastructure,Memory,Memory issue observed,Server-7,Low,High,P3,L1 Support,user5,False,False,False,PRB9794,RFC8399,OnPrem,Network,Duplicate,user2,2024-02-05 22:15:00,2024-02-06 16:15:00
INC100011,Closed,True,5,3,9,True,user3,user2,2024-02-13 21:11:00,user4,2024-02-13 21:11:00,user5,2024-02-16 09:11:00,Phone,Kolkata,Application,Crash,Crash issue observed,Server-95,Low,High,P3,L1 Support,user2,True,False,True,PRB7197,RFC5860,OnPrem,User Error,Solved,user1,2024-02-16 04:11:00,2024-02-16 09:11:00
INC100012,In Progress,False,5,2,4,True,user3,user3,2024-11-14 14:47:00,user3,2024-11-14 14:47:00,user2,2024-11-17 23:47:00,Phone,Mumbai,Database,Query Slow,Query Slow issue observed,Server-32,Medium,High,P2,DB Team,user4,False,True,False,PRB8827,RFC7337,AWS,Hardware,Solved,user4,2024-11-17 13:47:00,2024-11-17 23:47:00
INC100013,Resolved,False,1,0,5,False,user1,user4,2024-11-08 22:40:00,user4,2024-11-08 22:40:00,user4,2024-11-10 21:40:00,Phone,Kolkata,Application,Crash,Crash issue observed,Server-49,Medium,Low,P2,L1 Support,user3,True,False,True,PRB8040,RFC9128,GCP,Network,Cancelled,user5,2024-11-10 08:40:00,2024-11-10 21:40:00
INC100014,New,False,5,3,10,True,user5,user3,2024-06-08 07:34:00,user1,2024-06-08 07:34:00,user5,2024-06-10 22:34:00,Portal,Kolkata,Infrastructure,CPU,CPU issue observed,Server-54,Medium,High,P2,L2 Support,user2,False,False,True,PRB1748,RFC3932,Azure,Hardware,Solved,user2,2024-06-10 19:34:00,2024-06-10 22:34:00
INC100015,In Progress,False,4,3,3,False,user2,user3,2024-08-26 08:48:00,user1,2024-08-26 08:48:00,user5,2024-08-26 23:48:00,Email,Bangalore,Application,Error,Error issue observed,Server-57,High,Medium,P1,L2 Support,user1,False,False,True,PRB9037,RFC2143,AWS,User Error,Cancelled,user5,2024-08-26 18:48:00,2024-08-26 23:48:00
INC100016,New,False,5,0,9,True,user1,user4,2024-03-20 08:45:00,user1,2024-03-20 08:45:00,user1,2024-03-21 19:45:00,Email,Kolkata,Database,Query Slow,Query Slow issue observed,Server-3,Medium,Medium,P2,Network Team,user2,False,False,False,PRB3651,RFC2080,GCP,Software,Cancelled,user3,2024-03-20 22:45:00,2024-03-21 19:45:00
INC100017,Resolved,True,0,3,1,False,user4,user1,2023-06-10 06:19:00,user5,2023-06-10 06:19:00,user3,2023-06-10 22:19:00,Portal,Kolkata,Network,Packet Loss,Packet Loss issue observed,Server-89,High,Medium,P1,DB Team,user4,True,True,False,PRB5404,RFC5661,GCP,Network,Solved,user2,2023-06-10 08:19:00,2023-06-10 22:19:00
INC100018,Closed,True,2,1,7,True,user5,user3,2024-04-14 06:37:00,user4,2024-04-14 06:37:00,user4,2024-04-15 09:37:00,Email,Delhi,Infrastructure,Disk,Disk issue observed,Server-41,Medium,Medium,P2,L2 Support,user3,False,False,True,PRB6311,RFC1039,GCP,Software,Cancelled,user2,2024-04-14 16:37:00,2024-04-15 09:37:00
INC100019,Resolved,False,3,2,6,True,user1,user2,2024-06-30 19:35:00,user4,2024-06-30 19:35:00,user4,2024-07-03 06:35:00,Portal,Delhi,Infrastructure,Memory,Memory issue observed,Server-27,High,High,P1,Security Team,user1,True,False,False,PRB4672,RFC3147,AWS,User Error,Cancelled,user5,2024-07-02 10:35:00,2024-07-03 06:35:00
INC100020,Resolved,True,3,3,1,True,user4,user4,2024-07-16 17:31:00,user5,2024-07-16 17:31:00,user1,2024-07-19 04:31:00,Email,Kolkata,Database,Deadlock,Deadlock issue observed,Server-23,High,High,P1,Security Team,user1,False,False,True,PRB4461,RFC7150,AWS,Hardware,Cancelled,user1,2024-07-18 05:31:00,2024-07-19 04:31:00
INC100021,Closed,True,5,3,7,False,user5,user3,2023-02-19 05:31:00,user1,2023-02-19 05:31:00,user5,2023-02-20 21:31:00,Phone,Bangalore,Security,Patch,Patch issue observed,Server-28,Low,Medium,P3,L2 Support,user1,True,False,True,PRB1111,RFC6581,Azure,User Error,Cancelled,user1,2023-02-20 11:31:00,2023-02-20 21:31:00
INC100022,New,False,0,3,7,True,user2,user1,2023-01-28 13:51:00,user1,2023-01-28 13:51:00,user1,2023-01-29 18:51:00,Portal,Bangalore,Infrastructure,Disk,Disk issue observed,Server-41,Low,High,P3,L2 Support,user5,True,True,False,PRB2232,RFC7854,Azure,Software,Duplicate,user2,2023-01-29 09:51:00,2023-01-29 18:51:00
INC100023,New,False,4,3,3,True,user2,user4,2023-11-28 18:38:00,user1,2023-11-28 18:38:00,user1,2023-12-01 04:38:00,Email,Mumbai,Database,Query Slow,Query Slow issue observed,Server-56,Low,Medium,P3,Network Team,user2,True,False,True,PRB9762,RFC6672,GCP,User Error,Cancelled,user3,2023-11-30 17:38:00,2023-12-01 04:38:00
INC100024,In Progress,True,5,3,2,True,user4,user4,2023-11-27 08:26:00,user3,2023-11-27 08:26:00,user3,2023-11-29 11:26:00,Portal,Delhi,Database,Deadlock,Deadlock issue observed,Server-20,High,High,P1,L2 Support,user3,False,True,True,PRB1191,RFC5057,GCP,Software,Solved,user2,2023-11-29 00:26:00,2023-11-29 11:26:00
INC100025,In Progress,False,5,1,6,True,user2,user4,2023-06-22 17:34:00,user1,2023-06-22 17:34:00,user2,2023-06-25 21:34:00,Phone,Kolkata,Database,Deadlock,Deadlock issue observed,Server-45,Medium,High,P2,L2 Support,user3,False,True,True,PRB7758,RFC8925,Azure,Software,Duplicate,user4,2023-06-25 15:34:00,2023-06-25 21:34:00
INC100026,Closed,True,4,1,1,False,user1,user1,2023-09-17 05:06:00,user2,2023-09-17 05:06:00,user1,2023-09-19 00:06:00,Email,Bangalore,Security,Vulnerability,Vulnerability issue observed,Server-15,Low,High,P3,L1 Support,user3,True,False,True,PRB5892,RFC7741,OnPrem,Network,Solved,user4,2023-09-18 17:06:00,2023-09-19 00:06:00
INC100027,Resolved,True,1,3,1,True,user2,user2,2024-08-18 07:51:00,user4,2024-08-18 07:51:00,user1,2024-08-19 01:51:00,Phone,Kolkata,Security,Vulnerability,Vulnerability issue observed,Server-78,Medium,Low,P2,L1 Support,user5,False,True,False,PRB2247,RFC2204,GCP,Software,Duplicate,user2,2024-08-18 21:51:00,2024-08-19 01:51:00
INC100028,New,True,1,3,2,True,user5,user3,2024-08-21 14:53:00,user5,2024-08-21 14:53:00,user4,2024-08-23 08:53:00,Portal,Kolkata,Security,Vulnerability,Vulnerability issue observed,Server-52,High,High,P1,Security Team,user5,True,True,False,PRB4056,RFC3491,OnPrem,Hardware,Solved,user3,2024-08-22 20:53:00,2024-08-23 08:53:00
INC100029,Closed,True,4,2,2,False,user5,user2,2024-04-24 05:54:00,user2,2024-04-24 05:54:00,user1,2024-04-25 21:54:00,Portal,Bangalore,Network,Latency,Latency issue observed,Server-9,Low,Medium,P3,L2 Support,user3,True,False,False,PRB7110,RFC8741,OnPrem,Software,Duplicate,user1,2024-04-25 10:54:00,2024-04-25 21:54:00
INC100030,Closed,True,1,3,1,False,user3,user1,2024-02-02 09:55:00,user3,2024-02-02 09:55:00,user1,2024-02-03 17:55:00,Portal,Delhi,Network,Packet Loss,Packet Loss issue observed,Server-30,Medium,Medium,P2,DB Team,user5,False,False,True,PRB3242,RFC6350,Azure,Network,Solved,user5,2024-02-02 18:55:00,2024-02-03 17:55:00
INC100031,Closed,True,5,0,5,False,user4,user1,2024-01-13 05:47:00,user5,2024-01-13 05:47:00,user1,2024-01-15 08:47:00,Portal,Bangalore,Application,Crash,Crash issue observed,Server-58,Medium,Low,P2,L2 Support,user5,True,True,False,PRB3499,RFC4478,AWS,Software,Cancelled,user5,2024-01-14 18:47:00,2024-01-15 08:47:00
INC100032,New,False,4,1,1,False,user1,user4,2024-06-13 00:33:00,user3,2024-06-13 00:33:00,user3,2024-06-15 12:33:00,Portal,Kolkata,Infrastructure,Disk,Disk issue observed,Server-31,Medium,Medium,P2,Network Team,user1,False,False,False,PRB9481,RFC4628,OnPrem,Hardware,Duplicate,user2,2024-06-15 09:33:00,2024-06-15 12:33:00
INC100033,New,True,4,3,6,False,user2,user2,2024-11-22 07:42:00,user3,2024-11-22 07:42:00,user4,2024-11-23 02:42:00,Email,Delhi,Infrastructure,Disk,Disk issue observed,Server-27,Low,High,P3,L2 Support,user1,True,False,False,PRB2886,RFC8402,AWS,User Error,Cancelled,user3,2024-11-22 17:42:00,2024-11-23 02:42:00
INC100034,Closed,True,3,1,10,True,user1,user5,2024-08-27 03:22:00,user2,2024-08-27 03:22:00,user4,2024-08-29 12:22:00,Portal,Mumbai,Network,Latency,Latency issue observed,Server-25,Medium,High,P2,DB Team,user3,False,True,True,PRB1408,RFC4311,GCP,Network,Cancelled,user2,2024-08-29 07:22:00,2024-08-29 12:22:00
INC100035,New,False,2,1,6,True,user2,user4,2023-03-08 17:08:00,user2,2023-03-08 17:08:00,user2,2023-03-09 16:08:00,Email,Mumbai,Security,Patch,Patch issue observed,Server-38,Low,Medium,P3,L1 Support,user1,True,True,True,PRB6934,RFC5208,OnPrem,Network,Cancelled,user1,2023-03-09 12:08:00,2023-03-09 16:08:00
INC100036,In Progress,True,3,0,1,True,user3,user2,2023-09-04 00:07:00,user5,2023-09-04 00:07:00,user1,2023-09-06 09:07:00,Phone,Mumbai,Database,Deadlock,Deadlock issue observed,Server-89,High,Medium,P1,L2 Support,user4,True,False,False,PRB1751,RFC7125,GCP,Network,Duplicate,user1,2023-09-06 06:07:00,2023-09-06 09:07:00
INC100037,In Progress,False,3,0,9,False,user5,user1,2024-03-02 08:20:00,user2,2024-03-02 08:20:00,user4,2024-03-04 15:20:00,Phone,Bangalore,Security,Access,Access issue observed,Server-36,High,High,P1,Security Team,user3,False,True,True,PRB1972,RFC4549,GCP,Hardware,Cancelled,user2,2024-03-04 03:20:00,2024-03-04 15:20:00
INC100038,New,True,3,2,8,True,user1,user3,2023-03-01 10:26:00,user2,2023-03-01 10:26:00,user4,2023-03-04 18:26:00,Email,Mumbai,Security,Patch,Patch issue observed,Server-47,High,High,P1,L1 Support,user4,True,False,False,PRB2431,RFC5385,GCP,Network,Cancelled,user3,2023-03-03 18:26:00,2023-03-04 18:26:00
INC100039,Closed,False,2,0,6,True,user3,user1,2023-02-06 23:43:00,user1,2023-02-06 23:43:00,user3,2023-02-08 00:43:00,Email,Bangalore,Database,Deadlock,Deadlock issue observed,Server-89,High,High,P1,Security Team,user4,False,True,False,PRB6922,RFC5908,GCP,Hardware,Duplicate,user2,2023-02-07 00:43:00,2023-02-08 00:43:00
INC100040,New,True,4,3,2,True,user1,user3,2023-08-07 18:52:00,user1,2023-08-07 18:52:00,user4,2023-08-08 22:52:00,Portal,Delhi,Application,Error,Error issue observed,Server-22,High,Medium,P1,L2 Support,user3,True,False,True,PRB2179,RFC1776,GCP,Network,Cancelled,user3,2023-08-08 10:52:00,2023-08-08 22:52:00
INC100041,Closed,False,2,3,6,False,user4,user2,2023-08-17 19:25:00,user4,2023-08-17 19:25:00,user2,2023-08-19 10:25:00,Email,Bangalore,Security,Access,Access issue observed,Server-88,High,Low,P1,Network Team,user5,True,True,False,PRB9288,RFC7129,Azure,Network,Solved,user5,2023-08-18 17:25:00,2023-08-19 10:25:00
INC100042,In Progress,True,2,2,8,True,user2,user4,2023-11-29 20:11:00,user4,2023-11-29 20:11:00,user2,2023-12-01 10:11:00,Portal,Bangalore,Database,Connection,Connection issue observed,Server-31,High,High,P1,L1 Support,user2,True,False,True,PRB4485,RFC4690,GCP,Software,Duplicate,user3,2023-12-01 04:11:00,2023-12-01 10:11:00
INC100043,New,True,5,0,10,False,user5,user1,2024-04-21 16:09:00,user3,2024-04-21 16:09:00,user4,2024-04-23 00:09:00,Phone,Mumbai,Infrastructure,CPU,CPU issue observed,Server-85,High,Low,P1,DB Team,user2,False,False,True,PRB5782,RFC2821,AWS,Software,Duplicate,user4,2024-04-22 07:09:00,2024-04-23 00:09:00
INC100044,New,True,0,2,9,True,user5,user5,2024-01-31 21:18:00,user2,2024-01-31 21:18:00,user2,2024-02-03 23:18:00,Email,Delhi,Security,Access,Access issue observed,Server-87,Medium,Low,P2,Network Team,user3,True,True,True,PRB6845,RFC8664,AWS,Software,Solved,user2,2024-02-03 19:18:00,2024-02-03 23:18:00
INC100045,New,True,5,2,7,True,user3,user5,2024-04-06 11:29:00,user2,2024-04-06 11:29:00,user4,2024-04-08 12:29:00,Portal,Delhi,Database,Deadlock,Deadlock issue observed,Server-54,Medium,Medium,P2,Security Team,user1,False,True,False,PRB3393,RFC6490,AWS,User Error,Solved,user3,2024-04-07 14:29:00,2024-04-08 12:29:00
INC100046,In Progress,True,0,0,7,True,user2,user2,2024-09-28 03:48:00,user5,2024-09-28 03:48:00,user5,2024-09-30 02:48:00,Email,Mumbai,Database,Query Slow,Query Slow issue observed,Server-19,Low,High,P3,Network Team,user5,False,False,False,PRB1043,RFC1126,GCP,Software,Duplicate,user4,2024-09-29 04:48:00,2024-09-30 02:48:00
INC100047,Resolved,True,0,0,3,False,user3,user3,2024-02-05 09:33:00,user3,2024-02-05 09:33:00,user3,2024-02-06 04:33:00,Email,Mumbai,Database,Query Slow,Query Slow issue observed,Server-51,High,Low,P1,Security Team,user4,False,False,True,PRB4130,RFC3091,Azure,Network,Solved,user4,2024-02-06 00:33:00,2024-02-06 04:33:00
INC100048,Resolved,False,4,2,2,True,user4,user3,2023-10-18 20:47:00,user3,2023-10-18 20:47:00,user3,2023-10-21 13:47:00,Portal,Bangalore,Database,Query Slow,Query Slow issue observed,Server-40,Low,High,P3,Security Team,user1,True,True,False,PRB2204,RFC8836,Azure,Software,Solved,user1,2023-10-21 08:47:00,2023-10-21 13:47:00
INC100049,Closed,True,2,3,5,True,user1,user3,2023-12-16 01:19:00,user1,2023-12-16 01:19:00,user3,2023-12-18 05:19:00,Phone,Kolkata,Security,Vulnerability,Vulnerability issue observed,Server-99,High,Low,P1,L2 Support,user1,True,True,False,PRB2991,RFC7410,GCP,Hardware,Cancelled,user1,2023-12-18 03:19:00,2023-12-18 05:19:00
INC100050,Closed,False,2,3,10,False,user5,user2,2023-06-26 00:58:00,user4,2023-06-26 00:58:00,user3,2023-06-27 16:58:00,Portal,Kolkata,Security,Patch,Patch issue observed,Server-73,High,Medium,P1,L1 Support,user1,False,False,False,PRB6768,RFC2387,GCP,Software,Cancelled,user2,2023-06-26 19:58:00,2023-06-27 16:58:00
INC100051,New,False,4,1,4,True,user1,user5,2023-07-27 23:33:00,user1,2023-07-27 23:33:00,user2,2023-07-30 00:33:00,Portal,Delhi,Database,Deadlock,Deadlock issue observed,Server-59,High,High,P1,L1 Support,user4,True,True,True,PRB6767,RFC9220,AWS,User Error,Cancelled,user4,2023-07-29 11:33:00,2023-07-30 00:33:00
INC100052,Closed,False,0,1,4,True,user4,user5,2023-06-02 14:10:00,user5,2023-06-02 14:10:00,user4,2023-06-03 07:10:00,Email,Delhi,Database,Query Slow,Query Slow issue observed,Server-93,High,Medium,P1,L2 Support,user3,True,False,True,PRB8570,RFC8709,OnPrem,Hardware,Duplicate,user3,2023-06-03 06:10:00,2023-06-03 07:10:00
INC100053,Resolved,True,3,0,7,True,user2,user2,2024-02-15 07:18:00,user5,2024-02-15 07:18:00,user4,2024-02-16 07:18:00,Phone,Bangalore,Infrastructure,Memory,Memory issue observed,Server-46,High,Low,P1,Security Team,user3,False,True,False,PRB8803,RFC3439,OnPrem,Hardware,Solved,user3,2024-02-15 16:18:00,2024-02-16 07:18:00
INC100054,In Progress,False,0,1,1,True,user5,user1,2023-11-24 19:36:00,user2,2023-11-24 19:36:00,user3,2023-11-25 11:36:00,Email,Delhi,Network,Packet Loss,Packet Loss issue observed,Server-100,Low,Low,P3,DB Team,user5,False,True,False,PRB7418,RFC9008,OnPrem,Network,Solved,user3,2023-11-25 01:36:00,2023-11-25 11:36:00
INC100055,In Progress,True,2,0,5,True,user3,user5,2023-02-12 23:31:00,user2,2023-02-12 23:31:00,user2,2023-02-14 05:31:00,Email,Delhi,Security,Patch,Patch issue observed,Server-19,Medium,Low,P2,DB Team,user4,False,True,False,PRB7097,RFC8533,Azure,Network,Cancelled,user1,2023-02-13 13:31:00,2023-02-14 05:31:00
INC100056,Resolved,False,0,0,8,True,user3,user5,2023-01-06 23:49:00,user2,2023-01-06 23:49:00,user3,2023-01-09 05:49:00,Portal,Bangalore,Network,DNS,DNS issue observed,Server-31,Low,High,P3,DB Team,user5,False,True,True,PRB8160,RFC8336,GCP,Network,Duplicate,user5,2023-01-08 13:49:00,2023-01-09 05:49:00
INC100057,Resolved,True,0,1,6,False,user2,user1,2023-07-24 08:04:00,user5,2023-07-24 08:04:00,user3,2023-07-26 21:04:00,Portal,Kolkata,Infrastructure,CPU,CPU issue observed,Server-73,Medium,High,P2,DB Team,user1,False,True,False,PRB3597,RFC9941,AWS,User Error,Cancelled,user1,2023-07-26 18:04:00,2023-07-26 21:04:00
INC100058,New,True,0,1,4,False,user3,user2,2023-09-25 12:33:00,user4,2023-09-25 12:33:00,user2,2023-09-26 12:33:00,Phone,Delhi,Application,Crash,Crash issue observed,Server-21,High,Medium,P1,L2 Support,user4,False,True,True,PRB2844,RFC7302,OnPrem,Hardware,Duplicate,user5,2023-09-26 02:33:00,2023-09-26 12:33:00
INC100059,Resolved,True,1,2,4,False,user1,user1,2023-05-10 00:05:00,user2,2023-05-10 00:05:00,user2,2023-05-13 07:05:00,Portal,Kolkata,Database,Query Slow,Query Slow issue observed,Server-74,High,High,P1,Network Team,user2,True,True,True,PRB2893,RFC1660,GCP,User Error,Cancelled,user5,2023-05-12 14:05:00,2023-05-13 07:05:00
INC100060,Resolved,True,2,3,7,True,user3,user5,2023-05-04 22:24:00,user1,2023-05-04 22:24:00,user5,2023-05-05 21:24:00,Phone,Delhi,Application,Crash,Crash issue observed,Server-58,Low,Medium,P3,Network Team,user5,True,True,False,PRB8986,RFC6251,GCP,Network,Duplicate,user2,2023-05-05 06:24:00,2023-05-05 21:24:00
INC100061,New,True,5,1,3,True,user2,user1,2023-01-09 09:15:00,user5,2023-01-09 09:15:00,user1,2023-01-12 06:15:00,Phone,Kolkata,Application,Error,Error issue observed,Server-50,Low,Low,P3,L1 Support,user5,False,False,True,PRB4112,RFC7342,AWS,Network,Duplicate,user2,2023-01-11 14:15:00,2023-01-12 06:15:00
INC100062,Resolved,False,0,3,7,True,user1,user1,2023-11-06 23:41:00,user2,2023-11-06 23:41:00,user4,2023-11-09 02:41:00,Phone,Bangalore,Database,Query Slow,Query Slow issue observed,Server-80,Medium,Medium,P2,Security Team,user4,True,False,False,PRB3762,RFC4114,Azure,Software,Solved,user4,2023-11-08 16:41:00,2023-11-09 02:41:00
INC100063,Resolved,False,5,0,1,False,user3,user5,2024-05-13 18:52:00,user5,2024-05-13 18:52:00,user1,2024-05-14 21:52:00,Email,Delhi,Database,Deadlock,Deadlock issue observed,Server-71,Medium,Low,P2,Security Team,user1,False,True,True,PRB9937,RFC4642,GCP,User Error,Solved,user3,2024-05-14 15:52:00,2024-05-14 21:52:00
INC100064,Closed,True,0,0,2,True,user5,user1,2024-06-04 10:32:00,user1,2024-06-04 10:32:00,user5,2024-06-06 22:32:00,Email,Delhi,Database,Deadlock,Deadlock issue observed,Server-25,Medium,Low,P2,DB Team,user2,True,True,False,PRB7474,RFC1149,OnPrem,Network,Cancelled,user4,2024-06-06 10:32:00,2024-06-06 22:32:00
INC100065,In Progress,False,2,3,5,False,user5,user3,2024-05-05 12:35:00,user5,2024-05-05 12:35:00,user4,2024-05-08 11:35:00,Email,Kolkata,Security,Access,Access issue observed,Server-54,Low,Low,P3,DB Team,user4,False,True,True,PRB6143,RFC3963,GCP,Software,Cancelled,user2,2024-05-08 02:35:00,2024-05-08 11:35:00
INC100066,Resolved,False,1,3,6,True,user3,user1,2024-11-14 08:07:00,user4,2024-11-14 08:07:00,user1,2024-11-17 08:07:00,Email,Delhi,Infrastructure,Memory,Memory issue observed,Server-12,Low,Low,P3,Security Team,user2,True,False,False,PRB8886,RFC8458,OnPrem,Network,Solved,user3,2024-11-16 22:07:00,2024-11-17 08:07:00
INC100067,In Progress,False,5,3,1,False,user5,user5,2024-11-19 01:12:00,user4,2024-11-19 01:12:00,user4,2024-11-19 19:12:00,Email,Bangalore,Application,Slow Response,Slow Response issue observed,Server-100,Low,High,P3,DB Team,user5,False,False,True,PRB2411,RFC9195,AWS,Network,Duplicate,user3,2024-11-19 13:12:00,2024-11-19 19:12:00
INC100068,Resolved,True,3,3,4,True,user3,user3,2023-10-24 00:27:00,user3,2023-10-24 00:27:00,user1,2023-10-24 07:27:00,Email,Mumbai,Security,Access,Access issue observed,Server-50,Low,High,P3,DB Team,user3,False,False,False,PRB9235,RFC9129,OnPrem,Network,Cancelled,user3,2023-10-24 04:27:00,2023-10-24 07:27:00
INC100069,In Progress,True,4,3,3,False,user5,user1,2024-01-02 14:47:00,user2,2024-01-02 14:47:00,user3,2024-01-05 05:47:00,Email,Delhi,Security,Patch,Patch issue observed,Server-6,High,Medium,P1,DB Team,user2,False,False,False,PRB2181,RFC7606,GCP,Network,Cancelled,user5,2024-01-04 05:47:00,2024-01-05 05:47:00
INC100070,Closed,True,3,0,3,True,user4,user5,2024-02-06 04:31:00,user5,2024-02-06 04:31:00,user3,2024-02-06 14:31:00,Portal,Bangalore,Security,Patch,Patch issue observed,Server-18,High,High,P1,L1 Support,user4,False,False,True,PRB9626,RFC3438,GCP,Network,Solved,user3,2024-02-06 10:31:00,2024-02-06 14:31:00
INC100071,New,False,5,2,3,True,user4,user1,2023-11-28 05:45:00,user3,2023-11-28 05:45:00,user4,2023-11-29 16:45:00,Phone,Mumbai,Security,Access,Access issue observed,Server-33,Low,Medium,P3,L2 Support,user3,True,False,False,PRB8980,RFC7003,GCP,Hardware,Solved,user4,2023-11-29 11:45:00,2023-11-29 16:45:00
INC100072,New,False,2,0,4,True,user1,user4,2023-09-08 19:33:00,user5,2023-09-08 19:33:00,user4,2023-09-11 16:33:00,Portal,Mumbai,Network,Packet Loss,Packet Loss issue observed,Server-32,Medium,Medium,P2,Network Team,user2,True,False,True,PRB3568,RFC8985,Azure,User Error,Duplicate,user3,2023-09-11 01:33:00,2023-09-11 16:33:00
INC100073,Resolved,False,3,1,5,False,user3,user2,2023-03-11 00:49:00,user5,2023-03-11 00:49:00,user3,2023-03-12 12:49:00,Phone,Mumbai,Database,Deadlock,Deadlock issue observed,Server-88,Low,Medium,P3,L2 Support,user2,False,True,False,PRB9764,RFC2122,AWS,Software,Cancelled,user2,2023-03-11 14:49:00,2023-03-12 12:49:00
INC100074,Closed,True,3,0,8,False,user4,user5,2023-02-11 17:42:00,user1,2023-02-11 17:42:00,user5,2023-02-14 12:42:00,Email,Mumbai,Network,Packet Loss,Packet Loss issue observed,Server-48,Low,Low,P3,L1 Support,user2,True,False,True,PRB3272,RFC9173,Azure,Software,Duplicate,user1,2023-02-14 06:42:00,2023-02-14 12:42:00
